 58  18  26   7 0.1000   5.00
  0.0900   2   0.0000   0.0000  0   0.0000
-0.339  3.709  4.434 0.65329800E+04
-0.297  3.707  4.386 0.86047100E+04
-0.282  3.707  4.368 0.92470100E+04
-0.274  3.707  4.361 0.94717100E+04
-0.222  3.713  4.333 0.10083700E+05
-0.151  3.721  4.294 0.10210900E+05
-0.138  3.720  4.280 0.10228700E+05
-0.125  3.719  4.261 0.10410100E+05
-0.084  3.717  4.212 0.11193100E+05
-0.004  3.711  4.108 0.12207200E+05
 0.077  3.688  3.933 0.12913900E+05
 0.101  3.672  3.846 0.13077600E+05
 0.141  3.660  3.759 0.13185300E+05
 0.267  3.647  3.581 0.13333700E+05
 0.396  3.641  3.427 0.13434400E+05
 0.545  3.635  3.253 0.13536500E+05
 0.684  3.628  3.088 0.13611100E+05
 0.803  3.622  2.945 0.13663800E+05
 0.932  3.615  2.787 0.13708100E+05
 1.050  3.608  2.640 0.13735400E+05
 1.171  3.600  2.488 0.13761300E+05
 1.292  3.591  2.331 0.13787900E+05
 1.416  3.582  2.171 0.13802100E+05
 1.543  3.571  1.999 0.13814400E+05
 1.661  3.562  1.846 0.13823100E+05
 1.778  3.551  1.685 0.13829900E+05
 1.898  3.541  1.525 0.13835500E+05
 2.017  3.529  1.359 0.13839600E+05
 2.138  3.520  1.203 0.13843000E+05
 2.254  3.504  1.022 0.13845900E+05
 2.376  3.492  0.852 0.13848300E+05
 2.481  3.476  0.681 0.13849900E+05
 2.591  3.461  0.512 0.13851300E+05
 2.697  3.446  0.349 0.13852400E+05
 2.803  3.428  0.171 0.13853400E+05
 2.915  3.414  0.001 0.13854200E+05
 3.023  3.399 -0.167 0.13854900E+05
 3.115  3.377 -0.348 0.13855400E+05
 3.221  3.362 -0.515 0.13855900E+05
 3.329  3.347 -0.680 0.13856400E+05
 3.345  3.345 -0.705 0.13856500E+05
  0.8000  45   0.4262   0.5654  0   0.0000
-0.431  3.696  4.504 0.00000000E+00
-0.329  3.718  4.490 0.68385190E+03
-0.269  3.721  4.442 0.31404510E+04
-0.231  3.720  4.401 0.48454240E+04
-0.222  3.720  4.391 0.52243090E+04
-0.185  3.716  4.339 0.69161730E+04
-0.170  3.715  4.320 0.74436940E+04
-0.163  3.715  4.312 0.76285540E+04
