 64  24  26   7 0.0004   7.00
  0.0900   2   0.0000   0.0000  0   0.0000
  1.0000  45   0.4826   0.9042  0   0.0000
 0.154  3.834  4.565 0.00000000E+00
 0.210  3.839  4.532 0.86840000E+03
 0.274  3.846  4.494 0.19352800E+04
 0.333  3.851  4.455 0.28149500E+04
 0.391  3.855  4.414 0.35488500E+04
 0.450  3.860  4.375 0.41651300E+04
 0.512  3.866  4.338 0.46811300E+04
 0.571  3.870  4.294 0.50955800E+04
 0.570  3.869  4.292 0.51222900E+04
 0.579  3.869  4.283 0.51905800E+04
 0.599  3.870  4.265 0.53210700E+04
 0.644  3.875  4.239 0.54827400E+04
 0.660  3.875  4.226 0.55222300E+04
 0.678  3.875  4.206 0.56071100E+04
 0.698  3.874  4.182 0.57109800E+04
 0.809  3.858  4.008 0.61135100E+04
 0.882  3.830  3.825 0.62754500E+04
 0.926  3.799  3.657 0.63535200E+04
 0.947  3.771  3.522 0.64060500E+04
 0.945  3.768  3.510 0.64111600E+04
 0.944  3.758  3.473 0.64269700E+04
 1.009  3.741  3.339 0.64759400E+04
 1.033  3.739  3.308 0.64855000E+04
 1.131  3.733  3.186 0.65186900E+04
 1.253  3.728  3.044 0.65523400E+04
 1.375  3.724  2.907 0.65807700E+04
 1.496  3.721  2.773 0.66034900E+04
 1.617  3.717  2.635 0.66217900E+04
 1.737  3.712  2.497 0.66364700E+04
 1.860  3.708  2.357 0.66487100E+04
 1.979  3.704  2.223 0.66588000E+04
 2.024  3.703  2.174 0.66641500E+04
 1.954  3.706  2.254 0.66668500E+04
 2.101  3.701  2.089 0.66763100E+04
 2.225  3.697  1.946 0.66828000E+04
 2.345  3.692  1.806 0.66880200E+04
 2.468  3.687  1.664 0.66922100E+04
 2.587  3.682  1.524 0.66953700E+04
 2.708  3.676  1.380 0.66981100E+04
 2.826  3.671  1.241 0.67004500E+04
 2.950  3.664  1.088 0.67022700E+04
 3.068  3.655  0.938 0.67038400E+04
 3.187  3.651  0.800 0.67052600E+04
 3.248  3.649  0.732 0.67059400E+04
 3.250  3.649  0.729 0.67059410E+04
  1.1000  45   0.4810   1.0173  0   0.0000
 0.348  3.864  4.534 0.00000000E+00
 0.397  3.871  4.514 0.56364060E+03
 0.454  3.879  4.487 0.12671310E+04
 0.507  3.885  4.459 0.18569080E+04
 0.557  3.891  4.431 0.23572190E+04
 0.608  3.896  4.401 0.27857290E+04
 0.659  3.901  4.369 0.31520140E+04
 0.705  3.903  4.333 0.34539300E+04
 0.708  3.903  4.329 0.34765460E+04
 0.717  3.903  4.319 0.35341080E+04
 0.733  3.902  4.299 0.36446140E+04
 0.762  3.902  4.273 0.37853610E+04
 0.776  3.905  4.269 0.38203030E+04
 0.823  3.912  4.251 0.38940300E+04
 0.849  3.909  4.214 0.39691760E+04
 0.944  3.894  4.058 0.42658030E+04
